SNo,State,Population
1,Kano State,"94,01,288"
2,Lagos State,"91,13,605"
3,Kaduna State,"61,13,503"
4,Katsina State,"58,01,584"
5,Oyo State,"55,80,894"
6,Rivers State,"51,98,716"
7,Bauchi State,"46,53,066"
8,Jigawa State,"43,61,002"
9,Benue State,"42,53,641"
10,Anambra State,"41,77,828"
11,Borno State,"41,71,104"
12,Delta State,"41,12,445"
13,Imo State,"39,27,563"
14,Niger State,"39,54,772"
15,Akwa Ibom State,"39,02,051"
16,Ogun State,"37,51,140"
17,Sokoto State,"37,02,676"
18,Ondo State,"34,60,877"
19,Osun State,"34,16,959"
20,Kogi State,"33,14,043"
21,Zamfara State,"32,78,873"
22,Enugu State,"32,67,837"
23,Kebbi State,"32,56,541"
24,Edo State,"32,33,366"
25,Plateau State,"32,06,531"
26,Adamawa State,"31,78,950"
27,Cross River State,"28,82,988"
28,Abia State,"28,45,370"
29,Ekiti State,"23,98,357"
30,Kwara State,"23,65,353"
31,Gombe State,"23,65,040"
32,Yobe State,"23,21,339"
33,Taraba State,"22,94,800"
34,Ebonyi State,"21,76,947"
35,Nasarawa State,"18,69,377"
36,Bayelsa State,"17,04,515"
37,Abuja Federal Capital Territory,"14,05,201"
